submission;studyCountry;originCountry;siteType;IDPCamp;gender;age;maritalStatus;education;protectionStatus;Connectivity;Mobility;Marginalisation
SInt-AAU-AHA-001-ET;231;232;2;0;1;3;2;3;2;37;31;64
SInt-AAU-AHA-002-ET;231;232;2;0;2;1;1;0;#NULL!;12;5;41
SInt-AAU-AHA-003-ET;231;232;2;0;2;2;2;0;2;16;25;26
SInt-AAU-AHA-004-ET;231;232;2;0;2;4;2;0;#NULL!;11;25;26
SInt-AAU-AHA-005-ET;231;232;2;0;1;3;2;1;2;17;25;30
SInt-AAU-AHA-006-ET;231;232;2;0;2;3;2;0;2;8;5;31
SInt-AAU-AHA-007-ET;231;232;2;0;2;2;2;0;2;16;25;26
SInt-AAU-AHA-008-ET;231;232;2;0;2;4;2;0;2;15;25;26
SInt-AAU-AHA-009-ET;231;232;1;0;2;3;2;0;2;10;5;30
SInt-AAU-AHA-010-ET;231;232;1;0;2;1;1;2;2;13;25;20
SInt-AAU-AHA-011-ET;231;232;1;0;2;1;1;0;2;16;5;26
SInt-AAU-AHA-012-ET;231;232;1;0;1;5;2;0;2;14;25;26
SInt-AAU-AHA-013-ET;231;232;1;0;2;4;2;0;2;14;25;26
SInt-AAU-AHA-014-ET;231;232;1;0;2;1;1;3;2;14;5;18
SInt-AAU-AHA-015-ET;231;232;1;0;2;1;1;2;2;16;25;20
SInt-AAU-AHA-016-ET;231;232;1;0;1;2;1;3;2;12;25;24
SInt-AAU-AHA-017-ET;231;232;1;0;2;2;2;1;2;13;25;20
SInt-AAU-AHA-018-ET;231;232;1;0;2;3;2;0;2;15;5;26
SInt-AAU-AHA-019-ET;231;232;1;0;1;2;1;3;2;14;5;20
SInt-AAU-AHA-020-ET;231;232;1;0;2;1;1;3;2;16;25;20
SInt-AAU-AHA-021-ET;231;232;2;1;1;1;1;0;2;16;25;24
SInt-AAU-AHA-022-ET;231;232;2;1;1;1;1;2;2;21;25;25
SInt-AAU-AHA-023-ET;231;232;2;1;1;1;2;1;2;22;25;25
SInt-AAU-AHA-024-ET;231;232;2;1;1;1;1;1;2;22;25;25
SInt-AAU-AHA-025-ET;231;232;2;1;1;1;1;2;2;22;25;25
SInt-AAU-AHA-026-ET;231;232;2;1;1;1;1;1;2;38;25;25
SInt-AAU-AHA-027-ET;231;232;2;1;1;2;2;2;2;19;31;51
SInt-AAU-AHA-029-ET;231;232;2;1;2;4;2;0;2;17;25;31
SInt-AAU-AHA-029-ET;231;232;2;1;1;3;1;0;2;21;25;35
SInt-AAU-AHA-030-ET;231;232;2;1;1;6;2;0;2;15;10;35
SInt-AAU-Asm-001-ET;231;232;3;1;1;4;2;3;2;21;16;24
SInt-AAU-Asm-002-ET;231;232;3;1;2;2;2;1;2;28;10;27
SInt-AAU-Asm-003-ET;231;232;3;1;1;2;2;1;2;7;14;30
SInt-AAU-Asm-004-ET;231;232;3;1;2;2;1;1;2;5;10;25
SInt-AAU-Asm-005-ET;231;232;3;1;2;2;1;1;2;29;10;32
SInt-AAU-Asm-006-ET;231;232;3;1;1;2;1;2;2;7;16;26
SInt-AAU-Asm-007-ET;231;232;3;1;1;2;1;2;2;7;10;30
SInt-AAU-Asm-008-ET;231;232;3;1;1;5;2;1;2;9;13;22
SInt-AAU-Asm-009-ET;231;232;3;1;2;2;2;1;2;7;5;24
SInt-AAU-Asm-010-ET;231;232;3;1;1;4;2;0;2;9;10;33
SInt-AAU-Asm-011-ET;231;232;3;1;1;2;2;1;2;13;5;32
SInt-AAU-Asm-012-ET;231;232;3;1;2;3;2;0;2;7;9;31
SInt-AAU-Asm-013-ET;231;232;3;1;1;2;1;1;2;11;16;39
SInt-AAU-Asm-014-ET;231;232;3;1;2;3;2;0;2;7;15;33
SInt-AAU-Asm-015-ET;231;232;3;1;2;3;2;0;2;12;14;27
SInt-AAU-Asm-016-ET;231;232;3;1;2;2;2;1;2;12;9;34
SInt-AAU-Asm-017-ET;231;232;3;1;2;2;2;1;2;7;5;48
SInt-AAU-Asm-018-ET;231;232;3;1;1;3;2;3;2;11;14;25
SInt-AAU-Asm-019-ET;231;232;3;1;1;4;2;1;2;11;19;35
SInt-AAU-Asm-020-ET;231;232;3;1;1;2;1;1;2;13;5;41
SInt-AAU-Asm-021-ET;231;232;3;1;1;3;1;1;2;9;9;36
SInt-AAU-Asm-022-ET;231;232;3;1;1;2;1;1;2;10;7;30
SInt-AAU-Asm-023-ET;231;232;3;1;1;3;2;1;2;10;11;32
SInt-AAU-Asm-024-ET;231;999;3;1;2;2;2;1;2;9;17;37
SInt-AAU-Asm-025-ET;231;232;3;1;2;3;1;2;2;8;9;28
SInt-AAU-Asm-026-ET;231;232;3;1;2;2;2;0;2;16;11;27
SInt-AAU-Asm-027-ET;231;232;3;1;1;3;1;2;2;7;9;33
SInt-AAU-Asm-028-ET;231;232;3;1;1;2;1;1;2;4;9;40
SInt-AAU-Asm-029-ET;231;232;3;1;1;6;2;0;2;29;21;34
SInt-AAU-Asm-030-ET;231;232;3;1;2;2;2;1;2;10;10;24
SInt-AAU-Asm-031-ET;231;232;3;1;2;3;2;0;2;7;5;32
SInt-AAU-Asm-032-ET;231;232;3;1;2;3;2;0;2;10;10;36
SInt-AAU-Awe-001-ET;231;232;3;1;1;3;2;2;2;12;35;23
SInt-AAU-Awe-001-ET;231;232;3;1;1;4;2;3;2;49;24;25
SInt-AAU-Awe-002-ET;231;232;3;1;1;3;2;0;2;3;12;21
SInt-AAU-Awe-002-ET;231;232;3;1;2;2;2;2;2;11;12;31
SInt-AAU-Awe-003-ET;231;232;3;1;1;3;1;2;2;18;12;24
SInt-AAU-Awe-003-ET;231;232;3;1;1;3;1;3;2;13;12;37
SInt-AAU-Awe-004-ET;231;232;3;1;2;2;1;2;2;13;14;45
SInt-AAU-Awe-004-ET;231;232;3;1;1;3;2;3;2;26;12;29
SInt-AAU-Awe-005-ET;231;232;3;1;2;1;1;1;2;11;20;33
SInt-AAU-Awe-005-ET;231;232;3;1;2;2;1;3;2;3;10;20
