studyCountry,studysite_adm1,lon_stud_adm1,lat_stud_adm1,birthCountry,countryID,contactCountry,contact_adm1,lon_cont_adm1,lat_cont_adm1,weight
Italy,Turin,7.47211,45.1609,Nigeria,99,USA,,-100.4458825,39.7837304,1
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Afghanistan,,66.2385139,33.7680065,1
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Austria,,13.2,47.2,1
Greece,Attiki,23.7997,38.0626,Afghanistan,1,Finland,,25.9209164,63.2467777,1
Greece,Attiki,23.7997,38.0626,Afghanistan,1,Iran,,51.3896004,35.6892523,1
Greece,Attiki,23.7997,38.0626,Afghanistan,1,Sweden,,14.5208584,59.6749712,1
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Switzerland,,8.2319736,46.7985624,1
Italy,Rieti,12.9445,42.3382,Afghanistan,1,Afghanistan,,66.2385139,33.7680065,1
Italy,Trieste,13.7799,45.6866,Afghanistan,1,Afghanistan,,66.2385139,33.7680065,1
Italy,Roma,12.7308,41.965,Afghanistan,1,Germany,,10.4234469,51.0834196,1
Italy,Turin,7.47211,45.1609,Afghanistan,1,Iran,,51.3896004,35.6892523,1
Italy,Trieste,13.7799,45.6866,Afghanistan,1,Saudi Arabia,,42.3528328,25.6242618,1
Italy,Trieste,13.7799,45.6866,Afghanistan,1,USA,,-100.4458825,39.7837304,1
Italy,Udine,13.1961,46.0839,Afghanistan,1,USA,,-100.4458825,39.7837304,1
Pakistan,Khyber Pakhtunkhwa,72.6402,34.9407,Afghanistan,1,Germany,,10.4234469,51.0834196,1
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,Pakistan,,67.91064443,29.10819827,1
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,USA,,-100.4458825,39.7837304,1
Greece,Attiki,23.7997,38.0626,Afghanistan,1,Iran,Bushehr,51.4225,28.8273,1
Greece,Attiki,23.7997,38.0626,Afghanistan,1,France,Rhone,4.64841,45.841,1
Greece,Attiki,23.7997,38.0626,Afghanistan,1,Greece,Sterea Ellada,22.6102,38.6373,1
Greece,Attiki,23.7997,38.0626,Afghanistan,1,Sweden,Stockholm,17.8652,59.3659,1
Greece,Attiki,23.7997,38.0626,Afghanistan,1,Switzerland,Zurich,8.6609,47.4297,1
Pakistan,Islamabad Capital Territory,73.0628,33.7011,Afghanistan,1,Afghanistan,Kabul,69.3846,34.4949,1
Pakistan,Khyber Pakhtunkhwa,72.6402,34.9407,Afghanistan,1,Belgium,Brussels,4.36266,50.8332,1
Pakistan,Khyber Pakhtunkhwa,72.6402,34.9407,Afghanistan,1,Canada,Ontario,-84.7943,50.5244,1
Pakistan,Khyber Pakhtunkhwa,72.6402,34.9407,Afghanistan,1,UK,Westminster,-0.161651,51.5115,1
Pakistan,Punjab,72.3449,31.3589,Afghanistan,1,Afghanistan,Kabul,69.3846,34.4949,1
Italy,Roma,12.7308,41.965,Afghanistan,1,Afghanistan,Kabul,69.3846,34.4949,1
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,Iraq,Baghdad,44.3827,33.306,1
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,Iran,Esfahan,52.4195,32.9837,1
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,USA,New York,-75.3242,43.1988,1
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,Pakistan,Sind,68.8685,26.3734,1
Italy,Udine,13.1961,46.0839,Afghanistan,1,Belgium,Antwerp,4.72122,51.2485,1
Italy,Udine,13.1961,46.0839,Afghanistan,1,Sweden,Skane,13.5193,55.9073,1
Italy,Udine,13.1961,46.0839,Afghanistan,1,Italy,Udine,13.1961,46.0839,1
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Turkey,Ankara,32.578,39.829,1
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Greece,Attiki,23.7997,38.0626,1
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Germany,Berlin,13.4213,52.5131,1
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,UK,Liverpool,-2.9327,53.4312,1
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,France,Rhone,4.64841,45.841,1
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,DR Congo,,23.8222636,-2.9814344,1
Italy,Turin,7.47211,45.1609,DR Congo,2,DR Congo,,23.8222636,-2.9814344,1
Italy,Turin,7.47211,45.1609,DR Congo,2,Philippines,,122.7312101,12.7503486,1
Greece,Attiki,23.7997,38.0626,DR Congo,2,Greece,Voreio Aigaio,25.2262,39.9531,1
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,United Arab Emirates,Dubay,55.3436,24.9508,1
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,Kenya,Nairobi,36.9039,-1.29384,1
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,Australia,New South Wales,146.781,-32.4751,1
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,Norway,Oslo,10.6419,60.0237,1
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,France,Paris,2.34347,48.8594,1
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,Italy,Roma,12.7308,41.965,1
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,UK,Westminster,-0.161651,51.5115,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Angola,,17.5691241,-11.8775768,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Angola,,17.5691241,-11.8775768,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Canada,,-107.991707,61.0666922,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Denmark,,10.3333283,55.670249,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Finland,,25.9209164,63.2467777,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Finland,,25.9209164,63.2467777,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,France,,1.8883335,46.603354,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Germany,,10.4234469,51.0834196,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Israel,,34.8667654,31.5313113,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Netherlands,,5.453803502,52.17826107,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,New Zealand,,172.8344077,-41.5000831,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Norway,,9.0999715,60.5000209,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Norway,,9.0999715,60.5000209,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Saudi Arabia,,42.3528328,25.6242618,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Saudi Arabia,,42.3528328,25.6242618,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,South Africa,,24.991639,-28.8166236,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Sweden,,14.5208584,59.6749712,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Switzerland,,8.2319736,46.7985624,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,UK,,-1.462061885,52.28097045,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,USA,,-100.4458825,39.7837304,1
Italy,Roma,12.7308,41.965,Eritrea,3,Denmark,,10.3333283,55.670249,1
