studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,contactCountry,contactCity,contactLon,contactLat,weight,total_at_cp,country_at_cp,isBoth,
Jordan,Ajlun,35.761,32.2932,Syria,4,United Arab Emirates,Abu Dhabi,54.0817,23.5238,1,9,8,0,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,United Arab Emirates,Abu Dhabi,54.0817,23.5238,7,9,8,0,0,
Italy,Roma,12.7308,41.965,Eritrea,3,United Arab Emirates,Abu Dhabi,54.0817,23.5238,1,9,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,Ethiopia,Addis Ababa,38.7815,8.966,1,20,1,1,
Italy,Catania,14.969,37.5882,Eritrea,3,Ethiopia,Addis Ababa,38.7815,8.966,1,20,19,1,
Italy,Milano,9.1154,45.442,Eritrea,3,Ethiopia,Addis Ababa,38.7815,8.966,1,20,19,1,
Italy,Roma,12.7308,41.965,Eritrea,3,Ethiopia,Addis Ababa,38.7815,8.966,13,20,19,1,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Ethiopia,Addis Ababa,38.7815,8.966,3,20,19,1,
Italy,Udine,13.1961,46.0839,Eritrea,3,Ethiopia,Addis Ababa,38.7815,8.966,1,20,19,1,
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Ethiopia,Afar,41.0236,12.1232,1,1,1,1,
Jordan,Ajlun,35.761,32.2932,Syria,4,Jordan,Ajlun,35.761,32.2932,3,4,8,1,
Jordan,Irbid,35.8195,32.5559,Syria,4,Jordan,Ajlun,35.761,32.2932,1,4,8,1,
Italy,Roma,12.7308,41.965,Eritrea,3,Norway,Akershus,11.2222,60.1365,1,1,1,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Kuwait,Al Asimah,48.3318,29.4497,3,16,16,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Kuwait,Al Asimah,48.3318,29.4497,11,16,16,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Kuwait,Al Asimah,48.3318,29.4497,2,16,16,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Bahrain,Al Janubiyah,50.5622,25.9688,1,1,1,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Saudi Arabia,Al Jawf,38.3651,29.5589,2,2,1,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Saudi Arabia,Al Madinah,39.4378,24.9279,1,1,1,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Egypt,Al Qahirah,31.5788,29.9801,1,1,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Canada,Alberta,-115,55.2816,1,9,9,0,
Italy,Parma,10.04,44.6355,Eritrea,3,Canada,Alberta,-115,55.2816,1,9,9,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Canada,Alberta,-115,55.2816,7,9,9,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Syria,Aleppo,37.601,36.1054,3,9,9,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Syria,Aleppo,37.601,36.1054,6,9,9,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Jordan,Amman,36.4418,31.6211,2,28,28,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Jordan,Amman,36.4418,31.6211,19,28,28,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Jordan,Amman,36.4418,31.6211,7,28,28,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Ancona,13.1128,43.5383,1,1,1,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Turkey,Ankara,32.578,39.829,1,2,1,0,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Turkey,Ankara,32.578,39.829,1,2,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Eritrea,Anseba,39.0563,15.2792,9,12,12,0,
Italy,Parma,10.04,44.6355,Eritrea,3,Eritrea,Anseba,39.0563,15.2792,1,12,12,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Eritrea,Anseba,39.0563,15.2792,2,12,12,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Belgium,Antwerp,4.72122,51.2485,2,3,2,0,
Italy,Udine,13.1961,46.0839,Afghanistan,1,Belgium,Antwerp,4.72122,51.2485,1,3,1,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Syria,Ar Raqqah,38.9127,36.0067,1,1,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,USA,Arizona,-111.935,34.3046,1,2,1,0,
Italy,Roma,12.7308,41.965,Eritrea,3,USA,Arizona,-111.935,34.3046,1,2,1,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Saudi Arabia,Ash Sharqiyah,50.1714,22.9875,1,2,2,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Saudi Arabia,Ash Sharqiyah,50.1714,22.9875,1,2,2,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Greece,Athens Area,23.7997,38.0626,3,5,4,1,
Italy,Udine,13.1961,46.0839,Pakistan,5,Greece,Athens Area,23.7997,38.0626,1,5,1,1,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Greece,Athens Area,23.7997,38.0626,1,5,4,1,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,New Zealand,Auckland,174.597,-36.6334,1,1,1,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Germany,Baden-Wurttemberg,9.00328,48.59,1,2,1,0,
Italy,Turin,7.47211,45.1609,Gambia,99,Germany,Baden-Wurttemberg,9.00328,48.59,1,2,1,0,
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,Iraq,Baghdad,44.3827,33.306,1,1,1,0,
Pakistan,Islamabad Area,73.0628,33.7011,Pakistan,5,Afghanistan,Baghlan,68.9831,35.8588,1,5,5,0,
Pakistan,Khyber Pakhtunkhwa,72.6402,34.9407,Afghanistan,1,Afghanistan,Baghlan,68.9831,35.8588,4,5,5,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Afghanistan,Balkh,67.2185,36.6851,2,5,5,0,
Pakistan,Islamabad Area,73.0628,33.7011,Pakistan,5,Afghanistan,Balkh,67.2185,36.6851,1,5,5,0,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Afghanistan,Balkh,67.2185,36.6851,2,5,5,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Jordan,Balqa,35.7216,31.8345,1,1,1,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Pakistan,Baluchistan,65.5512,27.5194,2,16,16,0,
Pakistan,Islamabad Area,73.0628,33.7011,Afghanistan,1,Pakistan,Baluchistan,65.5512,27.5194,3,16,16,0,
Pakistan,Punjab,72.3449,31.3589,Afghanistan,1,Pakistan,Baluchistan,65.5512,27.5194,3,16,16,0,
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,Pakistan,Baluchistan,65.5512,27.5194,8,16,16,0,
Italy,Turin,7.47211,45.1609,Mali,99,Mali,Bamako,-8.01917,12.643,1,1,1,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Afghanistan,Bamyan,67.2365,34.9693,5,5,1,0,
Greece,Athens Area,23.7997,38.0626,Pakistan,5,Spain,Barcelona,2.00777,41.6575,1,1,1,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Germany,Bayern,11.3966,49.0056,4,4,1,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Lebanon,Beirut,35.5093,33.8849,3,6,6,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Lebanon,Beirut,35.5093,33.8849,3,6,6,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Libya,Benghazi,20.6182,31.2887,1,1,1,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Lebanon,Beqaa,36.1086,34.0494,6,6,1,0,
Italy,Milano,9.1154,45.442,Cameroon,99,Italy,Bergamo,9.77093,45.8097,1,1,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Germany,Berlin,13.4213,52.5131,3,25,6,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Germany,Berlin,13.4213,52.5131,2,25,15,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Germany,Berlin,13.4213,52.5131,2,25,3,0,
Jordan,Irbid,35.8195,32.5559,Syria,4,Germany,Berlin,13.4213,52.5131,13,25,15,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Germany,Berlin,13.4213,52.5131,3,25,6,0,
Italy,Turin,7.47211,45.1609,Nigeria,99,Germany,Berlin,13.4213,52.5131,1,25,1,0,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Germany,Berlin,13.4213,52.5131,1,25,3,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Switzerland,Bern,7.65026,46.7988,2,2,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,UK,Birmingham,-1.81614,52.4782,1,3,3,0,
Italy,Roma,12.7308,41.965,Eritrea,3,UK,Birmingham,-1.81614,52.4782,2,3,3,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Bologna,11.4149,44.3949,1,1,1,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Canada,British Columbia,-124.662,54.6943,1,1,1,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Belgium,Brussels,4.36266,50.8332,2,8,3,0,
Pakistan,Khyber Pakhtunkhwa,72.6402,34.9407,Afghanistan,1,Belgium,Brussels,4.36266,50.8332,1,8,3,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Belgium,Brussels,4.36266,50.8332,2,8,2,0,
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,Belgium,Brussels,4.36266,50.8332,3,8,3,0,
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,Burundi,Bujumbura Mairie,29.3689,-3.39861,6,6,1,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Iran,Bushehr,51.4225,28.8273,1,3,3,0,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Iran,Bushehr,51.4225,28.8273,2,3,3,0,
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,USA,California,-119.591,36.7496,1,5,5,0,
Italy,Roma,12.7308,41.965,Eritrea,3,USA,California,-119.591,36.7496,4,5,5,0,
