submissionID,studyCountry,stud_adm1,lond_stud_adm1,lat_stud_adm1,studyCity,studyLon,studyLat,birthCountry,countryID,birthCity,contactCountry,cont_adm1,long_cont_adm1,lat_cont_adm1,contactCity,contactLon,contactLat,weight	
SInt-AUTH-NM-244-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Kunduz,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,1	
SInt-AUTH-NM-217-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Mazari Sharif,Afghanistan,Balkh,67.2185,36.6851,Balkh,66.8980826,36.7581256,2	
SInt-AUTH-NM-248-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Kandahar,Pakistan,Baluchistan,65.5512,27.5194,Balochistan,65.79611173,28.09952517,2	
SInt-AUTH-NM-212-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Bamyan,Afghanistan,Bamyan,67.2365,34.9693,Bamyan,67.25,34.75,5	
SInt-AUTH-NM-243-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Ghazni,Germany,Berlin,13.4213,52.5131,Berlin,13.3888599,52.5170365,2	
SInt-AUTH-NM-201-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Bamyan,Belgium,Brussels,4.36266,50.8332,Brussels,4.359779196,50.84373495,2	
SInt-AUTH-NM-230-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Mazari Sharif (Balkh),Iran,Bushehr,51.4225,28.8273,Bushehr,51.3204877,28.8936645,1	
SInt-AUTH-NM-257-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Hirat,Iran,Esfahan,52.4195,32.9837,Isfahan,51.6650002,32.6707877,2	
SInt-AUTH-NM-262-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Bamyan,Iran,Fars,53.0793,29.4007,Shiraz,52.5378041,29.6060218,6	
SInt-AUTH-NM-223-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Ghazni,Afghanistan,Ghazni,67.8006,33.4079,Ghazni,67.828989,33.3149631,11	
SInt-AUTH-NM-213-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Lale Sar Jangel,Afghanistan,Ghor,64.9224,34.002,Ghor,64.9201949,34.1605257,2	
SInt-AUTH-NM-224-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Hirat,Germany,Hamburg,10.0344,53.559,Hamburg,10.000654,53.550341,3	
SInt-AUTH-NM-238-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Hirat,Afghanistan,Hirat,62.4845,34.1551,Herat,62.2164003,34.3508273,3	
SInt-AUTH-NM-253-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Logar,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787458,34.0123846,2	
SInt-AUTH-NM-221-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Baghlan,Afghanistan,Kabul,69.3846,34.4949,Kabul,69.1776838,34.5260109,8	
SInt-AUTH-NM-216-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Kabul,Iran,Kerman,56.9567,30.1234,Kerman,57.301047,29.571858,2	
SInt-AUTH-NM-271-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Bamyan,Australia,New South Wales,146.781,-32.4751,Sydney,151.2164539,-33.8548157,3	
SInt-AUTH-NM-231-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Hirat,France,Paris,2.34347,48.8594,Paris,2.3514616,48.8566969,1	
SInt-AUTH-NM-245-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Hirat,France,RhÃ´ne,4.64841,45.841,Lyon,4.8320114,45.7578137,1	
SInt-AUTH-MM-208-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Hilmand,Greece,StereÃ¡ EllÃ¡da,22.6102,38.6373,Thessaloniki,23.5282598,38.3707671,1	
SInt-AUTH-NM-202-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Ghazni,Sweden,Stockholm,17.8652,59.3659,Stockholm,18.0710935,59.3251172,1	
SInt-AUTH-NM-255-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Behsoud,Iran,Tehran,51.6548,35.5146,Tehran,51.3896004,35.6892523,13	
SInt-AUTH-NM-209-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Badakhshan,Afghanistan,Uruzgan,66.3011,33.8446,Dysai,65.75054328,33.58546235,2	
SInt-AUTH-NM-235-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Behsoud,Afghanistan,Wardak,68.1087,34.4269,Behsoud,67.90911181,34.34818142,3	
SInt-AUTH-NM-259-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Ghazni,Austria,Wien,16.3798,48.2247,Vienna,16.3725042,48.2083537,2	
SInt-AUTH-NM-247-GRC,Greece,Attiki,23.7997,38.0626,Athens,23.7265735,37.98398982,Afghanistan,1,Ghazni,Switzerland,ZÃ¼rich,8.6609,47.4297,Zurich,8.5410422,47.3744489,1	
SInt-SHARP-AI-271-PAK,Pakistan,F.C.T.,73.0628,33.7011,Islamabad,73.035,33.7352,Afghanistan,1,Kabul,Pakistan,Baluchistan,65.5512,27.5194,Quetta,67.0172447,30.1957677,2	
SInt-SHARP-SK-252-PAK,Pakistan,F.C.T.,73.0628,33.7011,Islamabad,73.035,33.7352,Afghanistan,1,Kabul,Pakistan,K.P.,72.6402,34.9407,Hari Pur,72.93069066,34.00183104,19	
SInt-SHARP-ZA-228-PAK,Pakistan,F.C.T.,73.0628,33.7011,Islamabad,73.035,33.7352,Afghanistan,1,Kunduz,Afghanistan,Kabul,69.3846,34.4949,Kabul,69.1776838,34.5260109,1	
SInt-SHARP-AI-009-PAK,Pakistan,F.C.T.,73.0628,33.7011,Islamabad,73.035,33.7352,Afghanistan,1,Logar,Afghanistan,Nangarhar,70.3027,34.2153,Jalalabad,70.460128,34.430195,3	
SInt-SHARP-AI-009-PAK,Pakistan,F.C.T.,73.0628,33.7011,Islamabad,73.035,33.7352,Afghanistan,1,Logar,Pakistan,Punjab,72.3449,31.3589,Attock,72.35999201,33.76681271,7	
SInt-SHARP-ZA-248-PAK,Pakistan,F.C.T.,73.0628,33.7011,Islamabad,73.035,33.7352,Afghanistan,1,Kabul,Pakistan,Sind,68.8685,26.3734,Karachi,67.0207055,24.8546842,3	
SInt-SHARP-AI-016-PAK,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787,34.0125,Afghanistan,1,Laghman,Afghanistan,Baghlan,68.9831,35.8588,Charbagh,68.5875612,35.5964572,4	
SInt-SHARP-ZA-141-PAK,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787,34.0125,Afghanistan,1,Wardak,Belgium,Brussels,4.36266,50.8332,Brussels,4.359779196,50.84373495,1	
SInt-SHARP-ZA-197-PAK,Pakistan,K.P.,72.6402,34.9407,Mardan,72.0449,34.1942,Afghanistan,1,Baghlan,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787458,34.0123846,6	
SInt-SHARP-SK-313-PAK,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787,34.0125,Afghanistan,1,Kabul,Afghanistan,Kabul,69.3846,34.4949,Kabul,69.1776838,34.5260109,5	
SInt-SHARP-SK-313-PAK,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787,34.0125,Afghanistan,1,Kabul,Afghanistan,Laghman,70.2085,34.7273,Laghman,70.183333,34.783333,6	
SInt-SHARP-AI-027-PAK,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787,34.0125,Afghanistan,1,Laghman,Afghanistan,Nangarhar,70.3027,34.2153,Jalalabad,70.460128,34.430195,1	
SInt-SHARP-AI-013-PAK,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787,34.0125,Afghanistan,1,Kabul,Australia,New South Wales,146.781,-32.4751,Sydney,151.2164539,-33.8548157,2	
SInt-SHARP-ZA-141-PAK,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787,34.0125,Afghanistan,1,Wardak,Canada,Ontario,-84.7943,50.5244,Toronto,-79.3839347,43.6534817,1	
SInt-SHARP-AI-190-PAK,Pakistan,K.P.,72.6402,34.9407,Mardan,72.0449,34.1942,Afghanistan,1,Kabul,Pakistan,Punjab,72.3449,31.3589,Lahore,74.3141829,31.5656822,2	
SInt-SHARP-SK-315-PAK,Pakistan,K.P.,72.6402,34.9407,Peshawar,71.5787,34.0125,Afghanistan,1,Kabul,UK,Westminster,-0.161651,51.5115,London,-0.1276474,51.5073219,1	
SInt-SHARP-ZA-163-PAK,Pakistan,Punjab,72.3449,31.3589,Lahore,74.3142,31.5658,Afghanistan,1,Baghlan,Pakistan,Baluchistan,65.5512,27.5194,Quetta,67.0172447,30.1957677,3	
