ID,Year,Group,Subgroup,Type,Subtype,Subsubtype,EventName,Country,ISO,Region,Continent,Location,Origin,AssociatedDis,AssociatedDis2,Declaration,AidContribution,DisMagValue,DisMagScale,Latitude,Longitude,LocalTime,RiverBasin,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Deaths,Injuries,Affected,Homeless,TotalAffected,ReconstructionCosts,InsuredDamages,TotalDamages,GeoLocations
1991-0132-PHL,1991,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Pinatubo,Philippines (the),PHL,South-Eastern Asia,Asia,Zambales,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0383-PHL,1991,Natural,Meteorological,Storm,Tropical cyclone,,Thelma (Uring),Philippines (the),PHL,South-Eastern Asia,Asia,Bago,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0114-PAN,1991,Natural,Geophysical,Earthquake,Ground movement,,,Panama,PAN,Central America,Americas,Bocas Del Toro,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0431-IND,1991,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,Near Thondebhavi (Karnataka),Monsoonal rain,Slide (land,,,,,,,,,,,,,,,,,,,,,,,,
1991-0418-IDN,1991,Natural,Climatological,Wildfire,Forest fire,,,Indonesia,IDN,South-Eastern Asia,Asia,Borneo,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0122-GEO,1991,Natural,Geophysical,Earthquake,Ground movement,,,Georgia,GEO,Western Asia,Asia,Dzhava-Tskhinvazli area,,Slide (land,,,,,,,,,,,,,,,,,,,,,,,,
1991-0230-GTM,1991,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,Escuintla,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0368-IND,1991,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Harsil (near Gangotri,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0532-IND,1991,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0177-KOR,1991,Natural,Hydrological,Flood,Riverine flood,,,Korea (the Republic of),KOR,Eastern Asia,Asia,Seoul and surroundings,Heavy rain,Slide (land,,,,,,,,,,,,,,,,,,,,,,,,
1991-0541-MEX,1991,Natural,Hydrological,Flood,Riverine flood,,,Mexico,MEX,Central America,Americas,Veracruz,Heavy rains,Slide (land,,,,,,,,,,,,,,,,,,,,,,,,
1991-0048-MWI,1991,Natural,Hydrological,Flood,Flash flood,,,Malawi,MWI,Eastern Africa,Africa,Chiringa,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0213-PAN,1991,Natural,Hydrological,Flood,Riverine flood,,,Panama,PAN,Central America,Americas,Bocas del Toro Province,Heavy rain,Slide (land,,,,,,,,,,,,,,,,,,,,,,,,
1991-0173-PER,1991,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,Maca Arequipa region,,Slide (land,,,,,,,,,,,,,,,,,,,,,,,,
1991-0533-PHL,1991,Natural,Hydrological,Flood,Coastal flood,,,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon Isl.,Extra-tropical cyclone,Slide (land,,,,,,,,,,,,,,,,,,,,,,,,
1991-0774-ROU,1991,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,Orosova area,,Slide (land,,,,,,,,,,,,,,,,,,,,,,,,
1991-0527-IND,1991,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0434-IRN,1991,Natural,Hydrological,Flood,Riverine flood,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Khoram Abad (Luristan province),,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0172-ROU,1991,Natural,Hydrological,Flood,Riverine flood,,,Romania,ROU,Eastern Europe,Europe,Bacau,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-9316-FRA,1991,Natural,Climatological,Drought,Drought,,,France,FRA,Western Europe,Europe,Limousin,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0374-IND,1991,Natural,Meteorological,Storm,Tropical cyclone,,4B,India,IND,Southern Asia,Asia,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0630-EGY,1991,Technological,Technological,Transport accident,Road,,,Egypt,EGY,Northern Africa,Africa,Asiut (El Minia),,,,,,,,,,,,1991,1,1,1991,1,1,20,,,,,,,,
1991-0112-EGY,1991,Technological,Technological,Transport accident,Water,,,Egypt,EGY,Northern Africa,Africa,Red Sea (Near Hurghada),,,,,,,,,,,,1991,4,18,1991,4,18,24,,,,,,,,
