x1,y1,z1,x2,y2,z2
38,17,29,28,28,27
29,17,26,39,16,29
37,16,32,39,12,47
7,10,38,9,10,34
7,5,26,15,27,32
19,5,34,34,10,28
25,5,36,15,12,33
35,11,36,11,5,20
19,10,23,38,36,26
13,10,21,21,15,25
36,21,27,16,12,24
13,5,21,21,34,35
7,18,26,33,20,39
29,20,21,17,25,28
30,12,22,12,7,26
11,28,23,15,20,24
11,15,21,45,10,28
3,5,26,45,16,30
12,15,35,43,22,41
14,15,23,20,22,32
6,5,21,16,10,24
6,5,21,42,9,32
28,17,21,40,17,24
12,15,21,36,7,27
12,10,25,17,8,29
12,17,29,37,32,24
8,5,24,41,7,27
10,5,24,40,20,31
18,7,27,21,20,36
28,5,24,33,7,36
10,5,27,11,0,27
13,5,28,12,12,21
8,5,25,29,10,57
9,5,27,12,30,35
26,5,24,18,10,44
9,5,25,14,20,15
11,5,31,30,18,32
40,25,22,15,12,30
37,15,46,11,20,62
34,5,35,11,25,22
13,20,30,6,4,62
9,5,28,17,5,36
11,5,26,20,10,32
35,0,28,19,0,28
42,14,31,20,5,24
26,10,33,14,27,30
21,5,35,17,5,26
13,10,48,13,5,27
35,10,31,15,7,18
31,14,26,12,12,21
37,5,30,16,10,22
44,5,39,15,10,18
9,0,19,16,18,31
26,10,21,16,5,17
9,5,22,9,0,22
9,5,26,27,0,21
22,5,21,13,0,22
11,5,23,9,0,22
9,5,20,15,0,18
15,0,24,22,0,25
19,0,22,7,0,22
14,0,24,18,0,22
19,0,22,9,0,28
18,0,24,7,0,22
24,0,24,9,0,24
14,0,24,38,23,18
15,5,25,16,11,32
9,0,24,30,19,22
2,0,24,6,11,26
2,0,24,41,5,22
28,0,22,36,10,26
7,0,24,12,10,22
21,0,22,32,13,24
18,0,21,16,10,22
20,0,24,15,14,27
9,0,24,8,7,25
18,0,22,38,18,31
14,0,23,10,10,39
18,0,24,29,5,34
7,0,22,20,39,19
14,0,23,8,5,30
7,0,22,21,5,33
10,0,22,7,0,24
2,0,24,23,0,32
8,0,22,29,13,24
2,0,21,28,0,24
13,0,34,19,0,22
7,0,22,14,0,20
38,24,40,7,0,26
36,10,38,13,12,37
7,5,33,25,0,20
8,5,33,8,5,19
8,5,41,7,5,25
18,5,31,25,0,24
11,0,51,13,0,28
7,10,25,10,5,31
8,5,25,8,0,26
13,5,41,10,0,31
25,0,26,10,0,31
25,0,25,6,0,35
14,0,28,8,5,41
19,20,24,21,0,22
14,7,26,30,5,38
14,25,26,19,0,22
37,25,24,8,5,30
25,25,24,8,5,36
7,0,27,12,12,22
20,0,28,2,0,26
25,0,26,7,0,26
22,0,28,25,0,22
32,15,20,13,0,25
13,0,28,19,0,24
9,0,28,18,0,22
2,0,23,9,0,26
30,0,24,23,0,21
7,0,22,8,0,22
7,0,24,2,0,24
8,5,22,20,7,22
13,16,29,2,0,23
12,20,31,7,0,22
17,21,25,27,0,24
27,11,24,7,0,23
11,15,25,7,0,24
3,23,23,25,0,21
28,20,21,7,0,23
20,0,21,7,0,22
2,0,22,15,0,22
23,10,22,2,0,22
30,18,22,21,0,22
24,0,21,2,0,22
2,0,20,7,0,23
45,27,35,2,0,22
41,23,32,17,0,22
36,26,52,14,0,22
17,19,50,47,37,29
29,19,39,46,20,32
30,21,40,34,16,30
31,21,39,32,10,25
14,17,32,30,7,20
31,16,31,17,10,17
14,19,49,33,16,22
13,7,38,22,9,44
38,18,49,19,19,47
31,18,42,36,21,26
34,6,36,33,22,29
13,20,39,42,24,37
34,17,49,32,20,22
10,17,56,34,24,50
16,17,33,29,30,36
36,24,38,28,19,45
34,17,50,15,19,44
20,6,18,17,23,56
31,19,38,38,18,29
47,19,38,11,17,40
42,19,27,39,8,37
41,19,37,23,21,49
24,24,45,34,23,30
13,18,40,34,24,55
40,18,31,38,9,16
21,17,46,18,19,58
35,17,54,31,19,58
15,16,54,43,12,53
40,17,36,40,17,45
38,6,35,16,18,52
12,16,57,18,16,69
15,18,57,14,19,34
36,15,49,32,21,34
34,16,62,44,6,30
38,18,62,50,21,42
27,18,49,45,17,54
42,17,37,45,19,26
34,15,55,43,21,41
30,18,39,32,17,38
16,19,54,23,18,33
32,15,61,17,19,39
36,15,49,36,17,44
16,17,61,31,16,40
38,15,50,49,17,51
16,18,31,49,19,54
4,12,50,35,15,32
31,30,42,30,17,43
5,11,46,41,18,45
12,11,40,40,16,53
11,36,42,34,20,58
9,11,38,17,19,51
13,26,40,39,17,28
6,11,46,24,16,75
6,11,52,38,16,54
13,11,34,43,19,54
17,31,28,21,18,54
7,36,36,41,18,55
6,11,17,17,15,49
4,31,41,53,18,43
6,11,36,43,23,33
8,35,30,29,16,61
12,11,43,49,16,61
8,26,20,55,18,48
17,6,30,34,16,54
16,6,24,34,17,51
9,6,30,19,10,31
15,11,28,15,5,24
8,36,29,23,12,27
14,19,35,10,26,61
18,16,30,8,27,56
29,18,21,8,30,60
25,28,22,38,30,54
6,26,18,7,31,58
11,6,20,17,31,56
11,16,24,23,30,48
4,38,19,3,31,56
22,15,18,10,12,49
16,34,18,12,31,61
6,29,16,23,33,58
14,34,21,10,31,54
3,36,21,6,31,52
12,31,28,15,11,63
18,43,23,7,30,58
24,26,29,7,10,39
13,23,18,3,31,59
16,13,20,11,11,57
14,17,32,6,27,48
15,17,19,7,12,29
16,43,21,8,11,54
7,7,23,7,11,57
4,34,17,5,11,59
27,22,29,6,11,59
8,32,19,13,11,47
17,26,39,5,12,50
33,36,17,7,11,46
12,10,35,6,11,49
12,40,28,6,11,41
23,39,14,6,11,48
21,29,19,7,31,37
7,26,23,7,36,47
9,38,22,12,12,44
15,18,24,16,39,20
20,8,22,21,33,25
21,19,18,29,47,20
9,9,21,16,41,17
12,46,23,8,34,23
21,21,24,17,38,15
11,33,28,5,16,21
14,6,24,22,44,30
21,45,37,17,19,31
12,10,22,8,37,29
7,28,21,15,40,19
14,36,28,11,31,20
7,28,33,6,30,23
7,30,23,9,36,20
12,43,28,18,6,30
