submissionID,studyCountry,studyCity,studyLon,studyLat,birthCountry,birthCity,birthLat,birthLon,transitCountry1,transitLat1,transitLon1,transitCountry2,transitLat2,transitLon2,transitCountry3,transitLat3,transitLon3,countryID,weight
SInt-ULEI-IA-035-COD,DR Congo,Sud-Kivu,-3.10474,28.1159,DR Congo,Sud-Kivu,-3.10474,28.1159,,,,,,,,,,2,285
SInt-YU-RA-001-JOR,Jordan,Irbid,32.5559,35.8195,Syria,Dar`a,32.8686,36.1698,,,,,,,,,,4,122
SInt-AAU-Asm-001-ET,Ethiopia,Tigray,14.1003,38.2158,Eritrea,Maekel,14.858,38.9679,,,,,,,,,,3,103
SInt-YU-AGS-001-JOR,Jordan,Mafraq,32.2481,37.6195,Syria,Dar`a,32.8686,36.1698,,,,,,,,,,4,52
SInt-AAU-AHA-002-ET,Ethiopia,Afar,12.1232,41.0236,Eritrea,Semenawi Keyih Bahri,16.6263,37.9175,,,,,,,,,,3,51
SInt-AUTH-MN-001-GRC,Greece,Attiki,38.0626,23.7997,Syria,Dayr Az Zawr,35.0736,40.275,Turkey,32.38075029,39.52890223,,,,,,,4,51
SInt-AAU-Bhy-002-ET,Ethiopia,Addis Ababa,8.966,38.7815,Eritrea,Anseba,15.2792,39.0563,,,,,,,,,,3,49
SInt-AAU-AHA-029-ET,Ethiopia,Afar,12.1232,41.0236,Eritrea,Maekel,14.858,38.9679,,,,,,,,,,3,49
SInt-YU-AGS-019-JOR,Jordan,Mafraq,32.2481,37.6195,Syria,Homs (Hims),34.1503,38.1425,,,,,,,,,,4,45
SInt-AUTH-MI-301-GRC,Greece,Attiki,38.0626,23.7997,Pakistan,Punjab,31.3589,72.3449,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,,,,5,45
SInt-AAU-Bhy-010-ET,Ethiopia,Addis Ababa,8.966,38.7815,Eritrea,Maekel,14.858,38.9679,,,,,,,,,,3,43
SInt-YU-KM-001-JOR,Jordan,Ajlun,32.2932,35.761,Syria,Dar`a,32.8686,36.1698,,,,,,,,,,4,35
SInt-AUTH-ST-005-GRC,Greece,Attiki,38.0626,23.7997,DR Congo,Kinshasa City,-4.49522,15.8492,Turkey,32.38075029,39.52890223,,,,,,,2,24
SInt-AUTH-MN-011-GRC,Greece,Attiki,38.0626,23.7997,Syria,Aleppo,36.1054,37.601,Turkey,32.38075029,39.52890223,,,,,,,4,24
SInt-FIERI-YSH-101-ITA,Italy,Roma,41.965,12.7308,Eritrea,Maekel,14.858,38.9679,Sudan,31.34054813,15.54952248,Libya,17.36281363,28.84775861,,,,3,22
SInt-FIERI-YSH-106-ITA,Italy,Roma,41.965,12.7308,Eritrea,Maekel,14.858,38.9679,Ethiopia,39.58541543,9.425119357,Sudan,31.34054813,15.54952248,Libya,17.36281363,28.84775861,3,21
SInt-SHARP-AI-005-PAK,Pakistan,F.C.T.,33.7011,73.0628,Afghanistan,Kunduz,36.9043,68.682,,,,,,,,,,1,20
SInt-SHARP-AI-017-PAK,Pakistan,N.W.F.P.,34.9407,72.6402,Pakistan,Baluchistan,27.5194,65.5512,,,,,,,,,,5,20
SInt-SHARP-AI-012-PAK,Pakistan,N.W.F.P.,34.9407,72.6402,Afghanistan,Ghazni,33.4079,67.8006,,,,,,,,,,1,19
SInt-SHARP-AI-011-PAK,Pakistan,N.W.F.P.,34.9407,72.6402,Afghanistan,Kabul,34.4949,69.3846,,,,,,,,,,1,18
SInt-SHARP-AI-031-PAK,Pakistan,Punjab,31.3589,72.3449,Afghanistan,Nangarhar,34.2153,70.3027,,,,,,,,,,1,18
SInt-SHARP-AI-223-PAK,Pakistan,F.C.T.,33.7011,73.0628,Afghanistan,Sari Pul,35.7062,66.2158,,,,,,,,,,1,17
SInt-SHARP-AI-034-PAK,Pakistan,Punjab,31.3589,72.3449,Afghanistan,Kunduz,36.9043,68.682,,,,,,,,,,1,17
SInt-FIERI-GG-027-ITA,Italy,Turin,45.1609,7.47211,Nigeria,Edo,6.52416,5.84934,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,,,,99,17
SInt-SHARP-AI-172-PAK,Pakistan,Sind,26.3734,68.8685,Afghanistan,Baghlan,35.8588,68.9831,,,,,,,,,,1,16
SInt-SHARP-AI-171-PAK,Pakistan,Sind,26.3734,68.8685,Afghanistan,Kunduz,36.9043,68.682,,,,,,,,,,1,15
SInt-AAU-Awe-006-ET,Ethiopia,Tigray,14.1003,38.2158,Eritrea,Gash Barka,15.0297,37.6058,,,,,,,,,,3,14
SInt-YU-RH-002-JOR,Jordan,Mafraq,32.2481,37.6195,Syria,Aleppo,36.1054,37.601,,,,,,,,,,4,13
SInt-SHARP-AI-293-PAK,Pakistan,Punjab,31.3589,72.3449,Afghanistan,Sari Pul,35.7062,66.2158,,,,,,,,,,1,12
SInt-SHARP-AI-032-PAK,Pakistan,Punjab,31.3589,72.3449,Afghanistan,Baghlan,35.8588,68.9831,,,,,,,,,,1,11
SInt-FIERI-YSH-104-ITA,Italy,Roma,41.965,12.7308,Eritrea,Semenawi Keyih Bahri,16.6263,37.9175,Sudan,31.34054813,15.54952248,Libya,17.36281363,28.84775861,,,,3,11
SInt-AUTH-NM-205-GRC,Greece,Attiki,38.0626,23.7997,Afghanistan,Hirat,34.1551,62.4845,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,,,,1,10
SInt-SHARP-AI-167-PAK,Pakistan,Sind,26.3734,68.8685,Afghanistan,Kandahar,31.135,65.7163,,,,,,,,,,1,10
SInt-FIERI-YSH-102-ITA,Italy,Roma,41.965,12.7308,Eritrea,Anseba,15.2792,39.0563,Sudan,31.34054813,15.54952248,Libya,17.36281363,28.84775861,,,,3,10
SInt-YU-RA-026-JOR,Jordan,Irbid,32.5559,35.8195,Syria,Homs (Hims),34.1503,38.1425,,,,,,,,,,4,10
SInt-SHARP-AI-224-PAK,Pakistan,F.C.T.,33.7011,73.0628,Afghanistan,Parwan,34.9984,68.8995,,,,,,,,,,1,9
SInt-SHARP-AI-048-PAK,Pakistan,Sind,26.3734,68.8685,Afghanistan,Kabul,34.4949,69.3846,,,,,,,,,,1,9
SInt-ULEI-IA-087-COD,DR Congo,Sud-Kivu,-3.10474,28.1159,DR Congo,Nord-Kivu,-0.659128,28.5939,,,,,,,,,,2,9
SInt-SHARP-AI-030-PAK,Pakistan,Punjab,31.3589,72.3449,Pakistan,Baluchistan,27.5194,65.5512,,,,,,,,,,5,9
SInt-FIERI-FR-009-ITA,Italy,Udine,46.0839,13.1961,Pakistan,Punjab,31.3589,72.3449,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,Greece,23.29359968,38.30578202,5,9
SInt-AUTH-ST-024-GRC,Greece,Voreio Aigaio,39.9531,25.2262,DR Congo,Kinshasa City,-4.49522,15.8492,Turkey,32.38075029,39.52890223,,,,,,,2,8
SInt-FIERI-FR-014-ITA,Italy,Udine,46.0839,13.1961,Pakistan,Baluchistan,27.5194,65.5512,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,Greece,23.29359968,38.30578202,5,7
SInt-AUTH-NM-220-GRC,Greece,Attiki,38.0626,23.7997,Afghanistan,Ghazni,33.4079,67.8006,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,,,,1,6
SInt-SHARP-AI-271-PAK,Pakistan,F.C.T.,33.7011,73.0628,Afghanistan,Kabul,34.4949,69.3846,,,,,,,,,,1,6
SInt-SHARP-AI-016-PAK,Pakistan,N.W.F.P.,34.9407,72.6402,Afghanistan,Sari Pul,35.7062,66.2158,,,,,,,,,,1,6
