submissionID,studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,birthCity,contactCountry,contactCity,contactLon,contactLat,weight
SInt-AAU-Ytk-007-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Ethiopia,99,Addis Ababa,USA,Arizona,-112.1659424,33.90317565,1
SInt-AAU-Ytk-007-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Ethiopia,99,Addis Ababa,Eritrea,Asmara,38.9326763,15.3389667,2
SInt-AAU-Ytk-009-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Debub Region,Germany,Bonn,7.10066,50.735851,1
SInt-AAU-Ytk-001-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Debub Region,Denmark,Copenhagen,12.5700724,55.6867243,1
SInt-AAU-Ytk-023-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Maekel Region,Qatar,Doha,51.5158119,25.317513,1
SInt-AAU-Ytk-023-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Maekel Region,Sudan,Khartoum,32.54065604,15.57790946,1
SInt-AAU-Ytk-006-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Ethiopia,99,Addis Ababa,UK,London,-0.1276474,51.5073219,2
SInt-AAU-Ytk-001-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Debub Region,USA,Maryland,-76.62767362,39.29008521,2
SInt-AAU-Ytk-004-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Northern Region,USA,New York,-74.0060152,40.7127281,1
SInt-AAU-Ytk-037-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Debub Region,Norway,Oslo,10.7389701,59.9133301,2
SInt-AAU-Ytk-003-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Debub Region,Italy,Rome,12.4829321,41.8933203,2
SInt-AAU-Ytk-019-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Debub Region,Australia,Sydney,151.2164539,-33.8548157,3
SInt-AAU-Ytk-012-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Eritrea,3,Debub Region,USA,Texas,-99.5120986,31.8160381,1
SInt-AAU-Ytk-006-ET,Ethiopia,Addis - Bole Arabsa,38.7146778,9.0295451,Ethiopia,99,Addis Ababa,USA,Washington DC,-77.0365427,38.8950368,3
SInt-AAU-Sgt-037-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Ethiopia,99,Addis Ababa,Ethiopia,Addis Ababa,38.7612525,9.0107934,1
SInt-AAU-Bhy-037-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Debub Region,Eritrea,Adi Quala,38.833557,14.633798,3
SInt-AAU-Sgt-005-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Maekel Region,Netherlands,Amsterdam,4.8936041,52.3727598,1
SInt-AAU-Bhy-039-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Maekel Region,Eritrea,Asmara,38.9326763,15.3389667,7
SInt-AAU-Bhy-039-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Maekel Region,Eritrea,Assab,42.74079433,13.01184167,1
SInt-AAU-Sgt-001-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Debub Region,Germany,Berlin,13.3888599,52.5170365,3
SInt-AAU-Bhy-008-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Gash-Barka,UK,Birmingham,-1.9026911,52.4796992,1
SInt-AAU-Bhy-026-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Debub Region,USA,Charlotte,-80.8430827,35.2272086,1
SInt-AAU-Sgt-021-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Debub Region,Denmark,Copenhagen,12.5700724,55.6867243,3
SInt-AAU-Bhy-010-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Debub Region,Canada,Edmonton,-113.507996,53.535411,1
SInt-AAU-Sgt-008-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Ethiopia,99,Addis Ababa,Germany,Frankfurt,8.6820917,50.1106444,11
SInt-AAU-Bhy-030-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Debub Region,Germany,Hamburg,10.000654,53.550341,5
SInt-AAU-Sgt-015-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Debub Region,USA,Indiana,-86.1746933,40.3270127,3
SInt-AAU-Bhy-018-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Maekel Region,South Sudan,Juba,31.5951655,4.8472017,1
SInt-AAU-Bhy-036-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Eritrea,3,Anseba,Eritrea,Keren,38.453606,15.780477,2
SInt-AAU-Sgt-037-ET,Ethiopia,Addis - Mebrathayil,38.7146778,9.0295451,Ethiopia,99,Addis Ababa,Norway,Kristiansand,8.018956237,58.16002277,2
